"X..71.800.","X..19.800.","X..7.900.","X.7..","X.1540.35.","X.no.","X.4.550.","X.100..","X.N.A.","X.N.A..1","X.94..","X.4.1.years.","X..12.500.","X..81.400.","X.93..","X.Nov.1.","X.Jan.1.","X.65..","X.98.."
"$71,800","$19,800","$7,900","7%","1540/35","no","4,550","100%","N/A","N/A","94%","4.1 years","$12,500","$81,400","93%","Nov 1","Jan 1","65%","98%"
"$73,400","$18,000","$1,300","4%","1500/34","no","7,080","100%","N/A","$13,250","94%","4.3 years","$11,340","$72,700","91%","Nov 1","Jan 3","59%","96%"
"$65,800","$16,900","$2,700","5%","1510/34","no","5,300","100%","N/A","N/A","96%","4.1 years","$9,850","$70,200","89%","N/A","Jan 1","59%","100%"
"$31,000","$17,600","$4,100","23%","1420/32","no","30,080","93%","11%","$5,570","92%","4.2 years","$16,610","$63,700","85%","Nov 1","Feb 1","51%","81%"
"$76,000","$20,700","N/A","9%","1510/34","no","6,600","100%","3%","N/A","96%","4.1 years","$11,500","$67,800","92%","Nov 1","Jan 3","56%","95%"
"$34,200","$18,600","$8,400","26%","1420/32","no","16,410","100%","3%","$5,040","94%","4.1 years","$17,760","$61,400","88%","Nov 1","Jan 1","43%","87%"
"$75,600","$19,600","$2,400","6%","1520/34","no","5,960","100%","N/A","N/A","97%","4.1 years","$13,000","$64,900","88%","Nov 1","Jan 1","53%","100%"
"$71,900","$24,600","$4,100","10%","1510/34","no","6,840","100%","10%","$24,220","94%","4.1 years","$15,000","$62,600","89%","Nov 1","Jan 1","67%","99%"
"$33,700","$14,100","$8,800","30%","1370/30","no","30,280","83%","2%","$11,200","86%","4.3 years","$16,810","$59,300","84%","N/A","Nov 30","58%","95%"
"$36,100","$16,400","$10,100","41%","1280/28","no","30,700","81%","4%","$6,830","86%","4.3 years","$13,000","$57,100","84%","N/A","N/A","66%","97%"
"$30,500","$20,000","$11,800","68%","1280/28","no","53,190","72%","10%","$3,990","82%","4.4 years","$18,500","$59,200","86%","N/A","Dec 1","55%","82%"
"$72,200","$22,900","$700","21%","1420/33","no","1,820","100%","7%","$40,050","95%","4 years","$19,500","$58,800","90%","Nov 1","Jan 1","59%","100%"
"$35,200","$15,700","$9,600","29%","1300/29","no","29,720","79%","2%","$8,010","83%","4.2 years","$15,890","$55,900","82%","N/A","Nov 30","65%","96%"
"$73,300","$18,400","$2,500","5%","1520/34","no","7,580","100%","N/A","$15,730","98%","4.1 years","$13,880","$67,900","89%","N/A","Jan 1","43%","100%"
"$29,800","$13,300","$9,900","55%","1140/23","no","24,840","56%","N/A","$2,200","71%","4.9 years","$17,790","$55,500","81%","N/A","Nov 30","68%","80%"
"$21,700","$11,800","$3,500","39%","1360/30","yes","34,560","98%","6%","$2,810","90%","4.3 years","$16,250","$54,100","83%","N/A","March 1","82%","62%"
"$39,000","$18,700","$8,400","15%","1430/33","no","30,850","83%","6%","$8,340","91%","4.2 years","$13,750","$65,800","84%","N/A","Nov 30","57%","94%"
"$66,700","$24,200","$6,400","11%","1510/34","no","3,960","100%","11%","$20,780","95%","4.1 years","$11,990","$66,500","87%","Nov 1","Jan 1","63%","98%"
"$35,500","$15,700","$9,000","14%","1410/32","no","31,570","82%","3%","$6,040","91%","4.2 years","$15,000","$57,600","83%","N/A","Nov 30","60%","96%"
"$28,400","$10,200","$7,300","49%","1340/30","no","30,910","75%","9%","$4,620","84%","4.2 years","$15,000","$58,200","83%","N/A","N/A","46%","85%"
"$29,500","$17,700","$9,500","22%","1470/33","no","15,200","57%","28%","$10,190","87%","4.6 years","$23,750","$69,600","91%","Oct 15","Jan 1","67%","88%"
"$30,900","$16,500","$7,000","62%","1330/29","no","32,970","64%","12%","$5,390","84%","4.2 years","$19,000","$61,200","87%","N/A","Jan 2","52%","83%"
"$23,500","$12,400","$5,100","58%","1300/29","yes","33,500","78%","14%","$5,040","81%","4.4 years","$19,500","$61,500","84%","Nov 1","Jan 15","51%","80%"
"$30,100","$15,200","$11,500","55%","1150/23","no","27,130","86%","N/A","$1,800","65%","5 years","$15,720","$60,600","81%","N/A","Dec 15","62%","76%"
"$74,000","$27,500","$2,800","7%","1560/36","no","950","100%","N/A","$5,000","92%","4.2 years","$8,700","$81,600","88%","Nov 1","Jan 3","59%","100%"
"$32,300","$15,500","$11,500","51%","1210/27","no","1,690","80%","10%","$6,750","78%","4.2 years","$21,630","$59,300","86%","Nov 15","Feb 1","71%","77%"
"$25,400","$9,900","$6,000","31%","1150/23","no","31,500","78%","N/A","N/A","69%","5 years","$15,000","$48,800","76%","N/A","N/A","71%","77%"
"$26,700","$14,800","$5,700","52%","1370/30","no","30,360","75%","7%","$4,110","87%","4.3 years","$20,500","$55,000","86%","Nov 1","Feb 1","42%","77%"
"$27,300","$14,800","$11,900","39%","1360/30","no","40,330","70%","1%","$2,510","83%","4.3 years","$20,000","$57,900","85%","N/A","Dec 1","49%","77%"
"$76,000","$27,400","$4,600","8%","1490/34","no","10,760","100%","N/A","N/A","95%","4.1 years","$19,500","$67,200","91%","Nov 1","Jan 5","52%","99%"
"$40,100","$16,300","$1,000","37%","1400/32","no","6,350","81%","5%","$7,410","91%","4.1 years","$18,330","$53,300","87%","Nov 1","Jan 1","49%","89%"
"$63,200","$19,800","$3,900","13%","1480/34","no","2,030","100%","N/A","N/A","95%","4.1 years","$12,700","$57,900","81%","Nov 15","Jan 1","55%","100%"
"$33,400","$4,300","$1,300","39%","1310/NA","no","14,630","45%","3%","$2,540","69%","4.5 years","$11,500","$55,600","80%","N/A","Feb 1","60%","92%"
"$28,600","$8,600","$5,100","43%","1130/22","no","34,640","59%","3%","$1,960","68%","4.9 years","$15,000","$47,300","76%","N/A","Dec 15","69%","82%"
"$24,500","$15,400","$9,100","47%","1320/29","no","23,710","74%","5%","$5,700","81%","4.4 years","$20,500","$56,700","82%","Nov 1","Jan 15","54%","92%"
"$28,700","$16,000","$4,000","89%","1130/23","no","1,650","71%","8%","$3,990","73%","4.3 years","$26,650","$63,700","92%","Nov 1","rolling","45%","76%"
"$27,800","$19,200","$13,000","65%","1290/28","no","27,730","56%","9%","$3,700","84%","4.3 years","$22,900","$61,300","87%","Nov 1","Jan 15","50%","69%"
"$73,600","$17,700","$5,100","8%","1470/33","no","1,550","100%","N/A","$5,000","94%","4.1 years","$10,040","$56,600","82%","Nov 1","Jan 1","61%","100%"
"$67,900","$29,900","$8,600","16%","1400/33","no","850","76%","51%","$24,340","88%","4.2 years","$15,000","$68,100","80%","Nov 1","Jan 8","100%","100%"
"$28,200","$18,500","$14,000","71%","1210/26","no","19,680","37%","1%","$5,820","84%","4.3 years","$20,500","$53,800","86%","N/A","Jan 15","35%","55%"
"$30,100","$16,600","$10,900","66%","1260/28","no","19,060","N/A","N/A","N/A","83%","4.1 years","$24,390","$56,200","86%","N/A","Jan 15","60%","N/A"
"$73,000","$20,300","$9,300","9%","1470/33","no","1,540","100%","1%","N/A","94%","4.1 years","$20,000","$61,000","81%","Nov 15","Jan 1","59%","100%"
"$24,300","$12,200","$4,300","23%","1380/31","no","18,950","100%","4%","$7,810","89%","4.1 years","$16,120","$50,700","84%","Oct 15","Jan 15","53%","91%"
"$78,700","$22,200","$10,700","6%","1510/34","no","8,220","100%","N/A","N/A","96%","4.1 years","$21,980","$66,800","88%","Nov 1","Jan 1","60%","99%"
"$23,700","$8,900","$6,000","51%","1030/19","no","34,910","N/A","17%","$2,450","54%","5 years","$14,490","$48,600","74%","N/A","N/A","73%","84%"
"$33,200","$20,500","$12,300","49%","1320/29","no","18,830","59%","13%","$8,340","85%","4.2 years","$21,500","$58,400","86%","N/A","Jan 15","61%","71%"
"$27,000","$4,600","$2,100","42%","990/18","no","24,160","70%","N/A","$5,500","48%","5.2 years","$13,380","$47,500","75%","Nov 30","Nov 30","83%","96%"
